Dimensions.Height,Dimensions.Length,Dimensions.Width,Engine Information.Driveline,Engine Information.Engine Type,Engine Information.Hybrid,Engine Information.Number of Forward Gears,Engine Information.Transmission,Fuel Information.City mpg,Fuel Information.Fuel Type,Fuel Information.Highway mpg,Identification.Classification,Identification.ID,Identification.Make,Identification.Model Year,Identification.Year,Engine Information.Engine Statistics.Horsepower,Engine Information.Engine Statistics.Torque,Price
188,144,69,All-wheel drive,Saab 2.8L 6 Cylinder 300 hp 295 ft-lbs Turbo,TRUE,6,6 Speed Automatic,17,Gasoline,27,Automatic transmission,2011 Saab 9-5 Sedan Turbo6 XWD,Saab,2011 Saab 9-5 Sedan,2011,300,295,10200
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,TRUE,6,6 Speed Manual,16,Gasoline,26,Manual transmission,2010 Chevrolet Corvette Grand Sport Coupe 2LT,Chevrolet,2010 Chevrolet Corvette Grand Sport Coupe,2010,430,424,50000
20,83,60,Rear-wheel drive,Porsche 3.8L 6 Cylinder 408 hp 310 ft-lbs,TRUE,6,6 Speed Manual,18,Gasoline,25,Manual transmission,2011 Porsche 911 Carrera GTS Coupe,Porsche,2011 Porsche 911 Coupe,2011,408,310,79700
223,137,64,All-wheel drive,Buick 3.6L 6 Cylinder 303 hp 264 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,12,E85,18,Automatic transmission,2012 Buick Lacrosse Premium I Group 3.6L AWD,Buick,2012 Buick Lacrosse,2012,303,264,14400
118,170,184,All-wheel drive,Bentley 6.0L 12 Cylinder 552 hp 479 ft-lbs FFV Turbo,TRUE,6,6 Speed Automatic,8,E85,13,Automatic transmission,2012 Bentley Continental Flying Spur,Bentley,2012 Bentley Continental Flying Spur,2012,552,479,99000
89,27,228,All-wheel drive,Audi 4.2L 8 cylinder 354hp 325 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,16,Gasoline,24,Automatic transmission,2012 Audi S5 Coupe 4.2 AT,Audi,2012 Audi S5 Coupe,2012,354,325,22000
188,31,206,Front-wheel drive,Dodge 3.6L 6 Cylinder 283 hp 260 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,12,E85,18,Automatic transmission,2012 Dodge Grand Caravan SE,Dodge,2012 Dodge Grand Caravan,2012,283,260,19000
112,140,181,Rear-wheel drive,Chevrolet 3.7L 5 Cylinder 242 hp 242 ft-lbs,TRUE,4,4 Speed Automatic,17,Gasoline,23,Automatic transmission,2012 Chevrolet Colorado Extended Cab Work Truck 3.7L,Chevrolet,2012 Chevrolet Colorado,2012,242,242,16000
137,184,24,All-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,26,Automatic transmission,2011 BMW 328i xDrive Sports Wagon AT,BMW Motorrad,2011 BMW 3 Series Sports Wagon,2011,230,200,13700
165,192,41,Front-wheel drive,Mercury 2.5L 4 Cylinder 175 hp 172 ft-lbs,TRUE,6,6 Speed Automatic,22,Gasoline,31,Automatic transmission,2010 Mercury Milan AT,Mercury,2010 Mercury Milan,2010,175,172,7400
224,177,118,Four-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,TRUE,5,5 Speed Automatic Select Shift,17,Gasoline,23,Automatic transmission,2010 Toyota Highlander SE 4WD,Toyota,2010 Toyota Highlander,2010,270,248,11300
135,213,212,Rear-wheel drive,Ford 4.6L 8 cylinder 248 hp 294 ft-lbs,TRUE,4,4 Speed Automatic,15,Gasoline,19,Automatic transmission,2010 Ford F-150 XL SuperCab 8-ft. Bed,Ford,2010 Ford F-150,2010,248,294,12600
102,89,234,Rear-wheel drive,Toyota 5.7L 8 Cylinder 381 hp 401 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,14,Gasoline,19,Automatic transmission,2010 Toyota Sequoia Limited,Toyota,2010 Toyota Sequoia,2010,381,401,12100
99,98,62,Front-wheel drive,Kia 2.0L 4 Cylinder 260 hp 264 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,22,Gasoline,27,Automatic transmission,2011 Kia Sportage SX,Kia,2011 Kia Sportage,2011,260,264,12100
110,186,57,Four-wheel drive,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,TRUE,5,5 Speed Automatic,15,Gasoline,20,Automatic transmission,2012 Nissan Xterra S 4X4 AT,Nissan,2012 Nissan Xterra,2012,261,281,14900
99,87,62,Front-wheel drive,Kia 2.4L 4 Cylinder 176 hp 168 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,22,Gasoline,31,Automatic transmission,2011 Kia Sportage LX,Kia,2011 Kia Sportage,2011,176,168,12000
104,22,72,Rear-wheel drive,Hyundai 2.0L 4 Cylinder 210 hp 223 ft-lbs Turbo,TRUE,6,6 Speed Manual,21,Gasoline,30,Manual transmission,2010 Hyundai Genesis Coupe 2.0T R-Spec,Hyundai,2010 Hyundai Genesis Coupe,2010,210,223,14000
180,176,239,Front-wheel drive,Kia 2.0L 4 Cylinder 156 hp 144 ft-lbs,TRUE,5,5 Speed Manual,25,Gasoline,34,Manual transmission,2010 Kia Forte EX,Kia,2010 Kia Forte,2010,156,144,11200
130,80,16,All-wheel drive,Volkswagen 2.0L 4 Cylinder 200 hp 207 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,21,Gasoline,27,Automatic transmission,2012 Volkswagen Tiguan S 4Motion,Volkswagen,2012 Volkswagen Tiguan,2012,200,207,18800
